"forbrukergruppe";"år";"Forbruk i alt"
"Vannforsyning, avløps- og renovasjonsvirksomhet";"1996";..
"Vannforsyning, avløps- og renovasjonsvirksomhet";"1997";..
"Vannforsyning, avløps- og renovasjonsvirksomhet";"1998";..
"Vannforsyning, avløps- og renovasjonsvirksomhet";"1999";..
"Vannforsyning, avløps- og renovasjonsvirksomhet";"2000";..
"Vannforsyning, avløps- og renovasjonsvirksomhet";"2001";..
"Vannforsyning, avløps- og renovasjonsvirksomhet";"2002";..
"Vannforsyning, avløps- og renovasjonsvirksomhet";"2003";..
"Vannforsyning, avløps- og renovasjonsvirksomhet";"2004";..
"Vannforsyning, avløps- og renovasjonsvirksomhet";"2005";..
