Navn;Stasjon;Tid(norsk normaltid);Regional middeltemperatur, beregnet med normalperiode 1961-1990 (mnd);Regional middeltemperatur, beregnet med normalperiode 1991-2020 (mnd)
Region Norge;GR0;01.1936;-6,8;-7,97
Region Norge;GR0;02.1936;-8,93;-9,79
Region Norge;GR0;03.1936;-4,77;-5,5
Region Norge;GR0;04.1936;-1,37;-1,73
Region Norge;GR0;05.1936;5,14;5,49
Region Norge;GR0;06.1936;10,02;11,03
Region Norge;GR0;07.1936;11,51;12,49
Region Norge;GR0;08.1936;10,94;11,02
Region Norge;GR0;09.1936;5,8;5,73
Region Norge;GR0;10.1936;0,47;0,13
Region Norge;GR0;11.1936;-1,23;-1,82
Region Norge;GR0;12.1936;-1,31;-2,22
Region Norge;GR0;01.1937;-4,51;-5,69
Region Norge;GR0;02.1937;-9,3;-10,17
Region Norge;GR0;03.1937;-6,44;-7,18
Region Norge;GR0;04.1937;1,87;1,51
Region Norge;GR0;05.1937;5,93;6,29
Region Norge;GR0;06.1937;8,26;9,26
Region Norge;GR0;07.1937;13,51;14,5
Region Norge;GR0;08.1937;13,28;13,37
Region Norge;GR0;09.1937;6,55;6,49
Region Norge;GR0;10.1937;4,28;3,95
Region Norge;GR0;11.1937;-3,02;-3,61
Region Norge;GR0;12.1937;-7,86;-8,79
Region Norge;GR0;01.1938;-4,76;-5,94
Region Norge;GR0;02.1938;-2,99;-3,83
Region Norge;GR0;03.1938;-1,48;-2,19
Region Norge;GR0;04.1938;-0,43;-0,78
Region Norge;GR0;05.1938;3,1;3,45
Region Norge;GR0;06.1938;7,13;8,13
Region Norge;GR0;07.1938;11,86;12,84
Region Norge;GR0;08.1938;11,38;11,46
Region Norge;GR0;09.1938;7,82;7,75
Region Norge;GR0;10.1938;3,81;3,47
Region Norge;GR0;11.1938;0,38;-0,21
Region Norge;GR0;12.1938;-3,4;-4,33
Region Norge;GR0;01.1939;-7,13;-8,31
Region Norge;GR0;02.1939;-3,25;-4,09
Region Norge;GR0;03.1939;-4,14;-4,88
Region Norge;GR0;04.1939;-1,37;-1,73
Region Norge;GR0;05.1939;3,3;3,64
Region Norge;GR0;06.1939;7,37;8,37
Region Norge;GR0;07.1939;10,85;11,83
Region Norge;GR0;08.1939;12,35;12,43
Region Norge;GR0;09.1939;6,55;6,49
Region Norge;GR0;10.1939;-0,03;-0,37
Region Norge;GR0;11.1939;-1,5;-2,09
Region Norge;GR0;12.1939;-7,53;-8,47
Region Norge;GR0;01.1940;-9,94;-11,15
Region Norge;GR0;02.1940;-11,55;-12,43
Region Norge;GR0;03.1940;-7,65;-8,39
Region Norge;GR0;04.1940;-2,07;-2,43
Region Norge;GR0;05.1940;5,91;6,26
Region Norge;GR0;06.1940;8,97;9,97
Region Norge;GR0;07.1940;9,77;10,76
Region Norge;GR0;08.1940;9;9,08
Region Norge;GR0;09.1940;5,34;5,28
Region Norge;GR0;10.1940;1,75;1,4
Region Norge;GR0;11.1940;-2,88;-3,47
Region Norge;GR0;12.1940;-5,9;-6,84
Region Norge;GR0;01.1941;-12,19;-13,4
Region Norge;GR0;02.1941;-10,08;-10,95
Region Norge;GR0;03.1941;-6,44;-7,17
Region Norge;GR0;04.1941;-2,58;-2,94
Region Norge;GR0;05.1941;2,45;2,8
Region Norge;GR0;06.1941;7,67;8,68
Region Norge;GR0;07.1941;13,45;14,45
Region Norge;GR0;08.1941;9,79;9,86
Region Norge;GR0;09.1941;6,1;6,04
Region Norge;GR0;10.1941;-0,12;-0,46
Region Norge;GR0;11.1941;-2,56;-3,16
Region Norge;GR0;12.1941;-6,63;-7,56
Region Norge;GR0;01.1942;-13,13;-14,34
Region Norge;GR0;02.1942;-10,35;-11,23
Region Norge;GR0;03.1942;-8,67;-9,41
Region Norge;GR0;04.1942;-0,47;-0,82
Region Norge;GR0;05.1942;2,63;2,98
Region Norge;GR0;06.1942;6,61;7,61
Region Norge;GR0;07.1942;9,86;10,85
Region Norge;GR0;08.1942;10,19;10,27
